Name	Set	Imagefile	Copies	Type	Sphere/Encounter Set(icon)	Unique	Traits	Engage	Cost	Willpower/Threat	Attack	Defense	Hit Points	Quest Points	Abilities	Number	Card Text	Shadow Text	Script	Sound
Celebrian's Stone	Core	core027	1	Attachment	Leadership	*	Artifact. Item		2							27	Attach to a hero. Restricted. Attached hero gains +2 WILL. If attached hero is Aragorn, he also gains a SPI resource icon.			
Veteran Axehand	Core	core028	3	Ally	Tactics		Dwarf. Warrior.		2	0	2	1	2			28				
Gondorian Spearman	Core	core029	3	Ally	Tactics		Gondor. Warrior.		2	0	1	1	1		Sentinel	29	Response: After Gondorian Spearman is declared as a defender, deal 1 damage to the attacking enemy.			
Horseback Archer	Core	core030	2	Ally	Tactics		Rohan. Archer.		3	0	2	1	2		Ranged	30				
Beorn	Core	core031	1	Ally	Tactics	*	Beorning. Warrior.		6	1	3	3	6			31	Action: Beorn gains +5 ATK until the end of the phase. At the end of the phase in which you trigger this effect, shuffle Beorn back into your deck. (Limit once per round.)			
Blade Mastery	Core	core032	3	Event	Tactics				1							32	Action: Choose a character. Until the end of the phase, that character gains +1 ATK and +1 DEF.			
Rain of Arrows	Core	core033	2	Event	Tactics				1							33	Action: Exhaust a character you control with the ranged keyword to choose a player. Deal 1 damage to each enemy engaged with that player.			
Feint	Core	core034	2	Event	Tactics				1							34	Combat Action: Choose an enemy engaged with a player. That enemy cannot attack this phase.			
Quick Strike	Core	core035	2	Event	Tactics				1							35	Action: Exhaust a character you control to immediately declare it as an attacker (and resolve its attack) against any eligible enemy target.			
Thicket of Spears	Core	core036	2	Event	Tactics				3							36	You must use resources from 3 different heroes' pools to pay for this card.. Action: Choose a player. That player's engaged enemies do not attack this phase.			
Swift Strike	Core	core037	1	Event	Tactics				2							37	Response: After a character is declared as a defender, deal 2 damage to the attacking enemy.			
Stand Together	Core	core038	1	Event	Tactics				0							38	Action: Choose a player. That player may declare any number of his eligible characters as defenders against each enemy attacking him this phase.			
Blade of Gondolin	Core	core039	2	Attachment	Tactics		Item. Weapon.		1							39	Attach to a hero. Restricted. Attached hero gets +1 ATK when attacking an Orc. Response: After attached hero attacks and destroys an enemy, place 1 progress token on the current quest.			
Citadel Plate	Core	core040	2	Attachment	Tactics		Item. Armor.		4							40	Attach to a hero. Restricted. Attached hero gets +4 Hit Points.			
Dwarven Axe	Core	core041	2	Attachment	Tactics		Item. Weapon.		2							41	Attach to a hero. Restricted. Attached hero gains +1 ATK. (+2 ATK instead if attached hero is a Dwarf.)			
Horn of Gondor	Core	core042	1	Attachment	Tactics	*	Item. Artifact.		1							42	Attach to a hero. Restricted. Response: After a character leaves play, add 1 resource to attached hero's pool.			
Wandering Took	Core	core043	2	Ally	Spirit		Hobbit.		2	1	1	1	2			43	Action: Reduce your threat by 3 to give control of Wandering Took to another player. Raise that player's threat by 3.			
Lorien Guide	Core	core044	3	Ally	Spirit		Silvan. Scout.		3	1	1	0	2			44	Response: After Lorien Guide commits to a quest, place 1 progress token on the active location.			
Northern Tracker	Core	core045	2	Ally	Spirit		Dunedain. Ranger.		4	1	2	2	3			45	Response: After Northern Tracker commits to a quest, place 1 progress token on each location in the staging area.			
The Galadhrim's Greeting	Core	core046	2	Event	Spirit				3							46	Action: Reduce 1 player's threat by 6 or reduce each player's threat by 2.			
Strength of Will	Core	core047	2	Event	Spirit				0							47	Response: After you travel to a location, exhaust a SPI character to place 2 progress tokens on that location.			
Hasty Stroke	Core	core048	2	Event	Spirit				1							48	Response: Cancel a shadow effect just triggered during combat.			
Will of the West	Core	core049	2	Event	Spirit				1							49	Action: Choose a player. Shuffle that player's discard pile back into his deck.			
A Test of Will	Core	core050	2	Event	Spirit				1							50	Response: Cancel the when revealed effects of a card that was just revealed from the encounter deck.			
Stand and Fight	Core	core051	3	Event	Spirit				X							51	Action: Choose an ally with a printed cost of X in any player's discard pile. Put that ally into play under your control (The chosen ally can belong to any sphere of influence.)			
A Light in the Dark	Core	core052	2	Event	Spirit				2							52	Action: Choose an enemy engaged with a player. Return that enemy to the staging area.			
Dwarven Tomb	Core	core053	1	Event	Spirit				1							53	Action: Return 1 SPI card from your discard pile to your hand.			
Fortune or Fate	Core	core054	1	Event	Spirit				5							54	Action: Choose a hero in any player's discard pile. Put that card into play, under its owner's control.			
The Favor of the Lady	Core	core055	2	Attachment	Spirit		Condition.		2							55	Attach to a hero. Attached hero gains +1 WILL.			
Power in the Earth	Core	core056	2	Attachment	Spirit		Condition.		1							56	Attach to a location. Attached location gets -1 THR			
Unexpected Courage	Core	core057	1	Attachment	Spirit		Condition.		2							57	Attach to a hero. Action: Exhaust Unexpected Courage to ready attached hero.			
Daughter of the Nimrodel	Core	core058	3	Ally	Lore		Silvan.		3	1	0	0	1			58	Action: Exhaust Daughter of the Nimrodel to heal up to 2 damage on any 1 hero.			
Erebor Hammersmith	Core	core059	2	Ally	Lore		Dwarf. Craftsman.		2	1	1	1	3			59	Response: After you play Erebor Hammersmith, return the topmost attachment in any player's discard pile to his hand.			
Henamarth Riversong	Core	core060	1	Ally	Lore	*	Silvan.		1	1	1	0	1			60	Action: Exhaust Henamarth Riversong to look at the top card of the encounter deck.			
Miner of the Iron Hills	Core	core061	2	Ally	Lore		Dwarf.		2	0	1	1	2			61	Response: After Miner of the Iron Hills enters play, choose and discard 1 Condition attachment from play.			
Gleowine	Core	core062	2	Ally	Lore	*	Minstral. Rohan.		2	1	0	0	2			62	Action: Exhaust Gleowine to choose a player. That player draws 1 card.			
Lore of Imladris	Core	core063	3	Event	Lore				2							63	Action: Choose a character. Heal all damage from that character.			
Lorien's Wealth	Core	core064	2	Event	Lore				3							64	Action: Choose a player. That player draws 3 cards.			
Radagast's Cunning	Core	core065	2	Event	Lore				1							65	Quest Action: Choose an enemy in the staging area. Until the end of the phase, that enemy does not contribute its THR			
Secret Paths	Core	core066	2	Event	Lore				1							66	Quest Action: Choose a location in the staging area. Until the end of the phase, that location does not contribute its THR.			
Gandalf's Search	Core	core067	2	Event	Lore				X							67	Action: Look at the top X cards of any player's deck, add 1 of those cards to its owner's hand, and return the rest to the top of the deck in any order.			
Beorn's Hospitality	Core	core068	1	Event	Lore				5							68	Action: Choose a player. Heal all damage on each hero controlled by that player.			
Forest Snare	Core	core069	2	Attachment	Lore		Item. Trap.		3							69	Attach to an enemy engaged with a player. Attached enemy cannot attack.			
Protector of Lorien	Core	core070	2	Attachment	Lore		Title.		1							70	Attach to a hero. Action: Discard a card from your hand to give the attached hero +1 DEF or +1 WILL until the end of the phase.			
Dark Knowledge	Core	core071	1	Attachment	Lore		Condition.		1							71	Attach to a hero. Attached hero gets -1 WILL. Response: Exhaust Dark Knowledge to look at 1 shadow card that was just dealt to an enemy attacking you.			
Self Preservation	Core	core072	2	Attachment	Lore		Skill.		3							72	Attach to a character. Action: Exhaust Self Preservation to heal 2 points of damage from attached character.			
Gandalf	Core	core073	4	Ally	Neutral	*	Istari.		5	4	4	4	4			73	At the end of the round, discard Gandalf from play. Response: After Gandalf enters play, (choose 1): draw 3 cards, deal 4 damage to 1 enemy in play, or reduce your threat by 5.			
King Spider	Core	core074,encounter	2	Enemy	(Spider) - Spiders of Mirkwood		Creature. Spider	20		2	3	1	3			74	When Revealed: Each player must choose and exhaust 1 character he controls.	Shadow: Defending character must choose and exhaust 1 character he controls. (2 characters instead if this attack is undefended.)		
Hummerhorns	Core	core075,encounter	1	Enemy	(Spider) - Spiders of Mirkwood		Creature. Insect.	40		1	2	0	3		Victory 5	75	Forced: After Hummerhorns engages you, deal 5 damage to a single hero you control.	Shadow: Deal 1 damage to each character the defending player controls. (2 damage instead if this attack is undefended.)		
Ungoliant's Spawn	Core	core076,encounter	1	Enemy	(Spider) - Spiders of Mirkwood		Creature. Spider.	32		3	5	2	9			76	When Revealed: Each character currently committed to a quest gets -1 SPI until the end of the phase.	Shadow: Raise defending player's threat by 4. (Raise defending player's threat by 8 instead if this attack is undefended.)		
Great Forest Web	Core	core077,encounter	2	Location	(Spider) - Spiders of Mirkwood		Forest.			2				2		77	Travel: Each player must exhaust 1 hero he controls to travel here.			
Mountains of Mirkwood	Core	core078,encounter	3	Location	(Spider) - Spiders of Mirkwood		Forest. Mountain.			3				2		78	Travel: Reveal the top card of the encounter deck and add it to the staging area to travel here. Response: After Mountains of Mirkwood leave play as an explored location, each player may search the top 5 cards of his deck for 1 card and add it to his hand. Shuffle the rest of the searched card back into their owners' decks.			
Eyes of the Forest	Core	core079,encounter	1	Treachery	(Spider) - Spiders of Mirkwood											79	When Revealed: Each player discards all event cards in his hand.			
Caught in a Web	Core	core080,encounter	2	Treachery	(Spider) - Spiders of Mirkwood											80	When Revealed: The player with the highest threat level attaches this card to one of his heroes. (Counts as a Condition attachment with the text: Attached hero does not ready during the refresh phase unless you pay 2 resources from that hero's pool.)			
Wolf Rider	Core	core081,encounter	1	Enemy	(Paw) - Wilderlands		Goblin. Orc.	10		1	2	0	2		Surge	81		Shadow: Wolf Rider attacks the defending player. That player may declare 1 character as a defender. Deal Wolf Rider its own Shadow card. After combat, return Wolf Rider to the top of the encounter deck.		
Hill Troll	Core	core082,encounter	2	Enemy	(Paw) - Wilderlands		Troll.	30		1	6	3	9		Victory 4	82	Excess combat damage dealt by Hill Troll (damage that is dealt beyond the remaining hit points of the character damaged by its attack) must be assigned as an increase to your threat.			
Goblin Sniper	Core	core083,encounter	2	Enemy	(Paw) - Wilderlands		Goblin. Orc.	48		2	2	0	2			83	During the encounter phase, players cannot optionally engage Goblin Sniper if there are other enemies in the staging area. Forced: If Goblin Sniper is in the staging area at the end of the combat phase, each player deals 1 point of damage to 1 character he controls.			
Marsh Adder	Core	core084,encounter	1	Enemy	(Paw) - Wilderlands		Creature.	40		3	4	1	7		Victory 3	84	Forced: Each time Marsh Adder attacks you, raise your threat by 1.			
Wargs	Core	core085,encounter	2	Enemy	(Paw) - Wilderlands		Creature.	20		2	3	1	3			85	Forced: If Wargs is dealt a shadow card with no effect, return Wargs to the staging area after it attacks.	Shadow: Attacking enemy gets +1 ATK. (+2 ATK instead if this attack is undefended.)		
Despair	Core	core086,encounter	2	Treachery	(Paw) - Wilderlands											86	When Revealed: Remove 4 progress tokens from the current quest card. (If there are fewer than 4 progress tokens on the quest, remove all progress tokens from that quest.)	Shadow: Defending character does not count its DEF.		
The Brown Lands	Core	core087,encounter	2	Location	(Paw) - Wilderlands		Wasteland.			5				1		87	Forced: After the players travel to The Brown Lands, place 1 progress token on it.			
The East Bight	Core	core088,encounter	2	Location	(Paw) - Wilderlands		Wasteland.			1				6		88	When faced with the option to travel, the players must travel to The East Bight if there is no active location.			
Dol Guldur Orcs	Core	core089,encounter	3	Enemy	(Orcs) - Dol Guldur Orcs		Dol Guldur. Orc.	10		2	2	0	3			89	When Revealed: The first player chooses 1 character currently committed to a quest. Deal 2 damage to that character.	Shadow: Attacking enemy gets +1 ATK. (+3 ATK instead if this attack is undefended.)		
Chieftan Ufthak	Core	core090,encounter	1	Enemy	(Orcs) - Dol Guldur Orcs		Dol Guldur. Orc.	35		2	3	3	6		Victory 4	90	Chieftan Ufthank gets +2 ATK for each resource token on him. Forced: After Chieftan Ufthak attacks, place 1 resource token on him.			
Dol Guldur Beastmaster	Core	core091,encounter	2	Enemy	(Orcs) - Dol Guldur Orcs		Dol Guldur. Orc.	35		2	3	1	5			91	Forced: After Dol Guldur Beastmaster attacks, deal it 1 additional shadow card.			
Driven by Shadow	Core	core092,encounter	1	Treachery	(Orcs) - Dol Guldur Orcs											92	When Revealed: Each enemy and each location currently in the staging area gets +1 THR until the end of the phase. If there are no cards in the staging area, Driven by Shadow gains surge.	Shadow: Choose and discard 1 attachment from the defending character. (If this attack is undefended, discard all attachments you control.)		
The Necromancer's Reach	Core	core093,encounter	3	Treachery	(Orcs) - Dol Guldur Orcs											93	When Revealed: Deal 1 damage to each exhausted character.			
Necromancer's Pass	Core	core094,encounter	2	Location	(Orcs) - Dol Guldur Orcs		Stronghold. Dol Guldur.			3				2		94	Travel: The first player must discard 2 cards from his hand at random to travel here.			
Enchanted Stream	Core	core095,encounter	2	Location	(Orcs) - Dol Guldur Orcs		Forest.			2				2		95	While Enchanted Stream is the active location, players cannot draw cards.			
Forest Spider	Core	core096,encounter	4	Enemy	(Tree) - Passage through Mirkwood		Creature. Spider.	25		2	2	1	4			96	Forced: After Forest Spider engages a player, it gets +1 ATK until the end of the round.	Shadow: Defending player must choose and discard 1 attachment he controls.		
East Bight Patrol	Core	core097,encounter	1	Enemy	(Tree) - Passage through Mirkwood		Goblin. Orc.	5		3	3	1	2			97		Shadow: Attacking enemy gets +1 ATK. (If this attack is undefended, also raise your threat by 3.)		
Black Forest Bats	Core	core098,encounter	1	Enemy	(Tree) - Passage through Mirkwood		Creature.	15		1	1	0	2			98	When Revealed: Each player must choose 1 character currently committed to a quest, and remove that character from the quest. (The chosen character does not ready.)			
Old Forest Road	Core	core099,encounter	2	Location	(Tree) - Passage through Mirkwood		Forest.			1				3		99	Response: After you travel to Old Forest Road, the first player may choose and ready 1 character he controls.			
Forest Gate	Core	core100,encounter	2	Location	(Tree) - Passage through Mirkwood		Forest.			2				4		100	Response: After you travel to Forest Gate, the first player may draw 2 cards.			
Dungeon Jailor	Core	core101,encounter	2	Enemy	(Tower) - Escape from Dol Guldur		Dol Gulgur. Orc.	38		1	2	3	5			101	Forced: If Dungeon Jailor is in the staging area after the players have just quested unsuccessfully, shuffle 1 unclaimed objective card from the staging area back into the encounter deck.			
Nazgvl of Dol Guldur	Core	core102,encounter	1	Enemy	(Tower) - Escape from Dol Guldur		Nazgvl	40		5	4	3	9			102	Forced: When the prisoner is rescued, move Nazgvl of Dol Guldur into the staging area. Forced: After a shadow effect dealt to Nazgvl of Dol Guldur resolves, the engaged player must choose and discard 1 character he controls.			
Cavern Guardian	Core	core103,encounter	2	Enemy	(Tower) - Escape from Dol Guldur		Undead.	8		2	2	1	2		Doomed 1	103		Shadow: Choose and discard 1 attachment you control. Discarded objective cards are returned to the staging area. (If this attack is undefended, discard all attachments you control.)		
Under the Shadow	Core	core104,encounter	2	Treachery	(Tower) - Escape from Dol Guldur											104	When Revealed: Until the end of the phase, raise the total THR in the stating area by X, where X is the number of players in the game.	Shadow: Defending player raises his threat by the number of enemies with which he is engaged.		
Iron Shackles	Core	core105,encounter	1	Treachery	(Tower) - Escape from Dol Guldur											105	When Revealed: Attack Iron Shackles to the top of the first player's deck. (Counts as a Condition attachment with the text: The next time a player would draw 1 or more cards from the attached deck, discard Iron Shackles instead.)	Shadow: Resolve the When Revealed effect of Iron Shackles.		
Endless Caverns	Core	core106,encounter	2	Location	(Tower) - Escape from Dol Guldur		Dungeon.			1				3	Doomed 1. Surge	106				
Tower Gate	Core	core107,encounter	2	Location	(Tower) - Escape from Dol Guldur		Dungeon.			2				1		107	Forced:After travelling to Tower Gate, each player places the top card of his deck, face down in front of him, as if it just engaged him from the staging area. These cards are called Orc Guard, and act as enemies with: 1 hit point, 1 ATK, and 1 DEF.			
Gandalf's Map - Escape from Dol Guldur	Core	core108,encounter	1	Objective	(Tower) - Escape from Dol Guldur										Guarded. Restricted.	108	Action: Raise your threat by 2 to claim this objective when it is free of encounters. When claimed, attach Gandalf's Map to a hero you control. (Counts as an attachment. If detached, return Gandalf's Map to the staging area.) Attached hero cannot attack or defend.			
Dungeon Torch - Escape from Dol Guldur	Core	core109,encounter	1	Objective	(Tower) - Escape from Dol Guldur										Guarded. Restricted.	109	Action: Raise your threat by 2 to claim this objective when it is free of encounters. When claimed, attach Dungeon Torch to a hero you control. (Counts as an attachment. If detached, return Dungeon Torch to the staging area.) Forced: At the end of each round, raise attached hero's controller's threat by 2.			
Shadow Key - Escape from Dol Guldur	Core	core110,encounter	1	Objective	(Tower) - Escape from Dol Guldur										Guarded. Restricted.	110	Action: Raise your threat by 2 to claim this objective when it is free of encounters. When claimed, attach Shadow Key to a hero you control. (Counts as an attachment. If detached, return Shadow Key to the staging area.) Forced: At the end of each round, attached hero suffers 1 damage.			
Misty Mountain Goblins	Core	core111,encounter	3	Enemy	(River) - Journey Down the Anduin		Goblin. Orc.	15		2	2	1	3			111	Forced: After Misty Mountain Goblins attacks, remove 1 progress token from the current quest.	Shadow: Remove 1 progress token from the current quest. (3 progress tokens instead if this attack is undefended.)		
Massing at Night	Core	core112,encounter	1	Treachery	(River) - Journey Down the Anduin											112	When Revealed: Reveal X additional cards from the encounter deck. X is the number of players in the game.	Shadow: Deal X shadow cards to this attacker. X is the number of players in the game.		
Banks of the Anduin	Core	core113,encounter	2	Location	(River) - Journey Down the Anduin		Riverland.			1				3		113	Forced: If Banks of the Anduin leaves play, return it to the top of the encounter deck instead of placing it in the discard pile.			
Gladden Fields	Core	core114,encounter	3	Location	(River) - Journey Down the Anduin		Marshland.			3				3	Victory 3	114	Forced: When Gladden Fields is the active location, each player must raise his threat by an additional point during the refresh phase.			
Eastern Crows	Core	core115,encounter	3	Enemy	(Eye).-.Sauron's Reach		Creature.	30		1	1	0	1		Surge	115	Forced: After Eastern Crows is defeated, shuffle it back into the encounter deck.	Shadow: Attacking enemy gets +1 ATK (+2 ATK instead if defending player's threat is 35 or higher.)		
Evil Storm	Core	core116,encounter	3	Treachery	(Eye).-.Sauron's Reach											116	When Revealed: Deal 1 damage to each character controlled by each player with a threat of 35 or higher.			
Pursued by Shadow	Core	core117,encounter	2	Treachery	(Eye).-.Sauron's Reach											117	When Revealed: Each player raises his threat by 1 for each character he controls that is not currently committed to a quest.	Shadow: Defending player chooses and returns 1 exhausted ally he controls to its owner's hand. If he controls no exhausted allies, raise his threat by 3.		
Treacherous Fog	Core	core118,encounter	2	Treachery	(Eye).-.Sauron's Reach											118	When Revealed: Each location in the staging area gets +1 THR until the end of the phase. Then, each player with a threat of 35 or higher chooses and discards 1 card from his hand.			
Flies and Spiders	Core	core119a.png,core119b.png	1	Quest	(Tree, Spider, Orcs)  - Passage Through Mirkwood									8		119	1A: Setup: Search the encounter deck for 1 copy of the Forest Spider and 1 copy of the Old Forest Road, and add them to the staging area. Then, shuffle the encounter deck.  1B: none.			
A Fork in the Road	Core	core120a.png,core120b.png	1	Quest	(Tree, Spider, Orcs)  - Passage Through Mirkwood									2		120	2A: none.  2B: Forced: When you defeat this stage, proceed to one of the 2 A Chosen Path stages, at random.			
A Chosen Path - Don't Leave the Path!	Core	core121a.png,core121b.png	1	Quest	(Tree, Spider, Orcs)  - Passage Through Mirkwood									0		121	3A: none.  3B: When Revealed: Each player must search the encounter deck and discard pile for 1 Spider card of his choice, and add it to the staging area. The players must find and defeat Ungoliant's Spawn to win the game.			
A Chosen Path - Beorn's Path	Core	core122a.png,core122b.png	1	Quest	(Tree, Spider, Orcs)  - Passage Through Mirkwood									10		122	3A: none.  3B: Players cannot defeat this stage when Ungoliant's Spawn is in play. If players defeat this stage, they have won the game.			
The Necromancer's Tower	Core	core123a.png,core123b.png	1	Quest	(Tower, Spider, Orcs) - Escape From Dol Guldur									9		123	1A: Setup: Search the encounter deck for the 3 objective cards, and place them in the staging area. Also, place the Nazgvl of Dol Guldur face up but out of place, alongside the quest deck. Then, shuffle the encounter deck and attach 1 encounter to each objective card.   1B: When Revealed: Randomly select 1 hero card (among all the heroes controlled by the players) and turn it facedown. That hero is now considered a prisoner, cannot be used, cannot be damaged, and does not collect resources, until it is rescued (as instructed by card effects) later in this quest. The players, as a group, cannot play more than 1 ally card each round. Players cannot advance to the next stage of this quest unless they have at least 1 objective card.			
Through the Caverns	Core	core124a.png,core124b.png	1	Quest	(Tower, Spider, Orcs) - Escape From Dol Guldur									15		124	2A: none.  2B: Response: After placing any number of progress tokens on this card, flip the prisoner hero card face up, and place 1 damage token on it. This hero has now been rescued, and may now be used by its controller. The players, as a group, cannot play more than 1 ally card each round. Players cannot advance to the next stage of this quest unless they have rescued the prisoner and have all 3 Escape from Dol Guldur objective cards.			
Out of the Dungeons	Core	core125a.png,core125b.png	1	Quest	(Tower, Spider, Orcs) - Escape From Dol Guldur									7		125	3A: none.  3B: Forced: At the beginning of each quest phase, each player places the top card of his deck, face down in front of him, as if it just engaged him from the staging area. These cards are called Orc Guard, and act as enemies with: 1 hit point, 1 ATK, and 1 DEF. Players cannot defeat this stage while Nazgvl of Dol Guldur is in play. If it is defeated and Nazgvl of Dol Guldur is not in play, the players have won the game.			
To the River...	Core	core126a.png,core126b.png	1	Quest	(River, Eye, Orcs, Paw) - Journey Along the Anduin									8		126	1A: Setup: Each player reveals 1 card from the top of the encounter deck, and adds it to the staging area. 1B: When Revealed: Search the encounter deck for 1 Hill Troll (if one is not already in play), and place it in the staging area. Shuffle the encounter deck. Players cannot defeat this stage while any Hill Troll cards are in play.			
Anduin Passage	Core	core127a.png,core127b.png	1	Quest	(River, Eye, Orcs, Paw) - Journey Along the Anduin									16		127	2A: none.  2B: Reveal 1 additional card from the encounter deck each quest phase. Do not make engagement checks during the encounter phase. (Each player may still optionally engage 1 enemy each encounter phase.)			
Ambush on the Shore	Core	core128a.png,core128b.png	1	Quest	(River, Eye, Orcs, Paw) - Journey Along the Anduin									0		128	3A: none.  3B: When Revealed: Reveal 2 encounter cards per player and add them to the staging area. Skip the staging step of the quest phase for the remainder of the game. Once there are no enemies in play, the players have won the game.			
First Player	Token	1stplayer.png		token																
Helper Card	Token	helper.png		token																
Eagle Token	Token	token01		token	Token - Eagles of the Misty Mountains						1	1			Token		Add +1[atk] and +1[Def] to attached Creature. May only be attached to ?Eagles of the Misty Mountains? though the ?Eagles of the Misty Mountains? card effect.			
CUSTOM.-.A Dark Fog	CUSTOM.TcatBD	TcatBD01a.png,TCatBD01b.png	1	CUSTOM.-.Quest	CUSTOM.-.(Castle, Tree, Eye).-.The Culling at the Barrow-downs															
CUSTOM.-.Silent, Heavy and Chill	CUSTOM.TcatBD	TcatBD02a.png,TCatBD02b.png	1	CUSTOM.-.Quest	CUSTOM.-.(Castle, Tree, Eye).-.The Culling at the Barrow-downs															
CUSTOM.-.Barrow-Bats	CUSTOM.TcatBD	TcatBD03,encounter	2	CUSTOM.-.Enemy	CUSTOM.-.(Castle).-.The Culling at the Barrow-downs		Creature.	15		1	2	3	3		Surge.			Shadow: Attach this card to a defending character. Counts as a Condition attachment with the text: ?Attached character has -1 defence.? (if undefended, attach to a random hero controlled by defending player)		
